profesorji,dtstamp,dtstart,dtend,trigger,location,description
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-02T08:00:00+00:00,2024-10-02T10:30:00+00:00,-1 days +23:30:00,301,P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-03-06T08:00:00+00:00,2025-03-06T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2019-09-10T13:00:00+00:00,2019-09-10T13:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Ferencek AljaÅ¾ - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-17T08:00:00+00:00,2024-10-17T10:30:00+00:00,-1 days +23:30:00,301,P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-09T08:00:00+00:00,2024-10-09T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-13T14:15:00+00:00,2024-12-13T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2019-09-11T10:30:00+00:00,2019-09-11T11:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome:  - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-07T08:00:00+00:00,2024-11-07T10:30:00+00:00,-1 days +23:30:00,410,P-Osnove inÅ¾eniringa in programske opreme-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-06T08:00:00+00:00,2024-11-06T10:30:00+00:00,-1 days +23:30:00,410,P-Osnove inÅ¾eniringa in programske opreme-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-03-10T08:00:00+00:00,2025-03-10T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2020-05-07T11:00:00+00:00,2020-05-07T11:30:00+00:00,-1 days +23:30:00,Nerazporejeno,"Zagovor magisterija: Å tirn Eva - - Mentor: Mirjana KljajiÄ BorÅ¡tnar/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2019-09-04T09:00:00+00:00,2019-09-04T09:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Bizjan Mark - - Mentor: Alenka Baggia/FOV, somentor: Marjan SenegaÄnik/FOV-VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-03T08:00:00+00:00,2024-10-03T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-21T14:15:00+00:00,2024-11-21T16:45:00+00:00,-1 days +23:30:00,401,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2023-04-13T13:30:00+00:00,2023-04-13T14:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: DraganoviÄ Amir - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2019-09-11T10:00:00+00:00,2019-09-11T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Vengar Rok - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2023-07-04T10:00:00+00:00,2023-07-04T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Iaroslav Paramonov - - Mentor: Gregor Lenart/FOV, somentor: -VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-12T14:15:00+00:00,2024-12-12T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-16T08:00:00+00:00,2024-10-16T10:30:00+00:00,-1 days +23:30:00,301,P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-03-05T08:00:00+00:00,2025-03-05T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2022-09-07T09:30:00+00:00,2022-09-07T10:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: PlaninÅ¡ek Karin - - Mentor: Alenka Baggia/FOV, somentor: -UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2020-05-07T08:30:00+00:00,2020-05-07T09:00:00+00:00,-1 days +23:30:00,Nerazporejeno,"Zagovor diplome: Vidic UroÅ¡ - - Mentor: Brane Å mitek/FOV, somentor: -VS-Izredni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2020-05-07T08:00:00+00:00,2020-05-07T08:30:00+00:00,-1 days +23:30:00,Nerazporejeno,"Zagovor diplome: Rudolf Nejc - - Mentor: Alenka Baggia/FOV, somentor: -VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-26T14:15:00+00:00,2024-11-26T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2022-11-24T14:00:00+00:00,2022-11-24T14:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Velkavrh Lenart - - Mentor: Alenka Baggia/FOV, somentor: -VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-03-21T10:00:00+00:00,2024-03-21T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Polajnar Tadej - - Mentor: Alenka Baggia/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-12T14:15:00+00:00,2024-12-12T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-20T14:15:00+00:00,2024-12-20T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-16T17:00:00+00:00,2024-12-16T19:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-VS-Izredni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-04T08:00:00+00:00,2024-10-04T10:30:00+00:00,-1 days +23:30:00,301,P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-27T14:15:00+00:00,2024-11-27T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2022-06-20T09:00:00+00:00,2022-06-20T09:30:00+00:00,-1 days +23:30:00,706 Sejna soba,"Zagovor diplome: Zadnik Jan - - Mentor: Marjan SenegaÄnik/FOV, somentor: Alenka Baggia/FOV-UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2023-06-23T10:30:00+00:00,2023-06-23T11:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Nesterov Pavel - - Mentor: Mirjana KljajiÄ BorÅ¡tnar/FOV, somentor: -MAG-Izredni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2023-09-27T11:00:00+00:00,2023-09-27T11:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Cof Tim - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-12T17:00:00+00:00,2024-12-12T20:15:00+00:00,-1 days +23:30:00,302,P-RaÄunalniÅ¡tvo in informatika-VS-Izredni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-12T13:30:00+00:00,2024-12-12T14:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Andonov Sandro - - Mentor: Iztok Bitenc/FOV, somentor: Robert Leskovar/FOV-VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-03-03T08:00:00+00:00,2025-03-03T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-14T08:00:00+00:00,2024-10-14T10:30:00+00:00,-1 days +23:30:00,301,P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-02T10:45:00+00:00,2024-10-02T13:15:00+00:00,-1 days +23:30:00,410,P-Uvod v inÅ¾eniring programske opreme-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-03-11T08:00:00+00:00,2025-03-11T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-07T10:45:00+00:00,2024-10-07T13:15:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Uvod v inÅ¾eniring programske opreme-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2022-09-07T12:30:00+00:00,2022-09-07T13:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: BiÄek Nejc - - Mentor: UroÅ¡ RajkoviÄ/FOV, somentor: -VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-04T10:45:00+00:00,2024-10-04T13:15:00+00:00,-1 days +23:30:00,410,P-Uvod v inÅ¾eniring programske opreme-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-09-24T09:00:00+00:00,2024-09-24T09:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: KogovÅ¡ek Jernej - - Mentor: Alenka BrezavÅ¡Äek/FOV, somentor: -UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2023-09-27T11:30:00+00:00,2023-09-27T12:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Vengar Rok - - Mentor: Alenka Baggia/FOV, somentor: Gregor Lenart/FOV-MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2022-09-07T10:00:00+00:00,2022-09-07T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: KovaÄiÄ Nejc - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2020-01-31T10:00:00+00:00,2020-01-31T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Oman Timo - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-22T14:15:00+00:00,2024-11-22T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-25T14:15:00+00:00,2024-11-25T16:45:00+00:00,-1 days +23:30:00,402,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2022-06-23T08:00:00+00:00,2022-06-23T08:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Herceg Tanja - - Mentor: UroÅ¡ RajkoviÄ/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-02-27T08:00:00+00:00,2025-02-27T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2023-11-23T13:30:00+00:00,2023-11-23T14:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Zupan AljaÅ¾ - - Mentor: Borut Werber/FOV, somentor: Robert Leskovar/FOV-VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-01-07T14:15:00+00:00,2025-01-07T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2022-11-30T11:00:00+00:00,2022-11-30T11:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Sitar Marinka - - Mentor: Alenka Baggia/FOV, somentor: Andrej Å kraba/FOV-MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-21T14:15:00+00:00,2024-11-21T16:45:00+00:00,-1 days +23:30:00,401,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-29T14:15:00+00:00,2024-11-29T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-26T14:15:00+00:00,2024-11-26T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-28T14:15:00+00:00,2024-11-28T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2022-09-07T11:30:00+00:00,2022-09-07T12:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Bochl Jaka - - Mentor: UroÅ¡ RajkoviÄ/FOV, somentor: -VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-02-25T08:00:00+00:00,2025-02-25T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-02-26T08:00:00+00:00,2025-02-26T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-17T14:15:00+00:00,2024-12-17T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-13T17:00:00+00:00,2024-12-13T18:35:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-VS-Izredni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-03T10:45:00+00:00,2024-10-03T13:15:00+00:00,-1 days +23:30:00,410,P-Uvod v inÅ¾eniring programske opreme-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-01-26T08:30:00+00:00,2024-01-26T09:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Repnik Ines - - Mentor: Robert Leskovar/FOV, somentor: -VS-Izredni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-09-26T10:00:00+00:00,2024-09-26T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: ÄadeÅ¾ Maja - - Mentor: Alenka Baggia/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-03-12T08:00:00+00:00,2025-03-12T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-19T17:00:00+00:00,2024-12-19T20:15:00+00:00,-1 days +23:30:00,MS Teams,P-RaÄunalniÅ¡tvo in informatika-VS-Izredni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-01-07T14:15:00+00:00,2025-01-07T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-19T14:15:00+00:00,2024-12-19T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-08T08:00:00+00:00,2024-10-08T10:30:00+00:00,-1 days +23:30:00,301,P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-12T14:00:00+00:00,2024-12-12T14:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Bertoncelj Mark - - Mentor: Alenka Baggia/FOV, somentor: Marko Urh/FOV-UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2022-10-12T11:30:00+00:00,2022-10-12T12:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Jeromel Gal - - Mentor: Alenka Baggia/FOV, somentor: Brane Å mitek/FOV-UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-11T08:00:00+00:00,2024-10-11T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-10-07T08:00:00+00:00,2024-10-07T10:30:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-RaÄunalniÅ¡tvo in informatika-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2022-09-07T12:00:00+00:00,2022-09-07T12:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: Lamovec Nina Danaja - - Mentor: UroÅ¡ RajkoviÄ/FOV, somentor: -UNI-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:29+00:00,2019-09-10T13:30:00+00:00,2019-09-10T14:00:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: LomovÅ¡ek Å½iga - - Mentor: Borut Werber/FOV, somentor: -VS-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-20T14:15:00+00:00,2024-12-20T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-22T14:15:00+00:00,2024-11-22T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-11T08:00:00+00:00,2024-11-11T10:30:00+00:00,-1 days +23:30:00,410,P-Osnove inÅ¾eniringa in programske opreme-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2025-03-07T08:00:00+00:00,2025-03-07T10:30:00+00:00,-1 days +23:30:00,111,P-RaÄunalniÅ¡tvo in informatika-VS-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-29T14:15:00+00:00,2024-11-29T16:45:00+00:00,-1 days +23:30:00,413,P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:31+00:00,2024-12-19T14:15:00+00:00,2024-12-19T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-11-27T14:15:00+00:00,2024-11-27T16:45:00+00:00,-1 days +23:30:00,E-uÄilnica,e-P-Spletno programiranje-UNI-Redni
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2023-09-29T10:00:00+00:00,2023-09-29T10:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor magisterija: Arh Patrik - - Mentor: Robert Leskovar/FOV, somentor: -MAG-Redni"
https://urnik.fov.um.si/Izvajalec/calendars/02---Alenka-Baggia,2024-12-12T11:45:30+00:00,2024-01-26T09:00:00+00:00,2024-01-26T09:30:00+00:00,-1 days +23:30:00,707 Diplomska soba,"Zagovor diplome: PiÄman Lara - - Mentor: Robert Leskovar/FOV, somentor: -UNI-Redni"
